County,Population
U.S. TOTAL,332031554
California,39142991
"Los Angeles County, California",10019635
"San Diego County, California",3296317
"Orange County, California",3182923
"Riverside County, California",2409331
"San Bernardino County, California",2171071
"Santa Clara County, California",1932022
"Alameda County, California",1673133
"Sacramento County, California",1571767
"Contra Costa County, California",1161643
"Fresno County, California",1003150
"Kern County, California",905644
"San Francisco County, California",865933
"Ventura County, California",845255
"San Joaquin County, California",771406
"San Mateo County, California",762488
"Stanislaus County, California",550842
"Sonoma County, California",492498
"Tulare County, California",470999
"Solano County, California",451432
"Santa Barbara County, California",447651
"Monterey County, California",438953
"Placer County, California",400330
"San Luis Obispo County, California",282771
"Merced County, California",279150
"Santa Cruz County, California",272138
"Marin County, California",262387
"Butte County, California",217884
"Yolo County, California",216703
"El Dorado County, California",190568
"Shasta County, California",181935
"Imperial County, California",180051
"Madera County, California",156304
"Kings County, California",151887
"Napa County, California",138795
"Humboldt County, California",137014
"Nevada County, California",102090
"Sutter County, California",99080
"Mendocino County, California",91534
"Yuba County, California",80404
"Lake County, California",67749
"Tehama County, California",65345
"San Benito County, California",63329
"Tuolumne County, California",55243
"Calaveras County, California",45349
"Siskiyou County, California",44151
"Amador County, California",40095
"Lassen County, California",32949
"Glenn County, California",28675
"Del Norte County, California",27655
"Colusa County, California",21780
"Plumas County, California",19631
"Inyo County, California",18804
"Mariposa County, California",17225
"Trinity County, California",15818
"Mono County, California",13291
"Modoc County, California",8723
"Sierra County, California",3079
"Alpine County, California",1344
