County,Quarterly Establishments,January Employment ,February Employment,March Employment,Total Quarterly Wages, Average Weekly Wage
U.S. TOTAL,11294919,145582488,147172213,147781400,2622652420011,1374
California,1658354,17434489,17685777,17731739,376039788524,1642
"Alameda County, California",66659,775283,784175,787692,18609710909,1830
"Alpine County, California",79,806,817,797,9862822,941
"Amador County, California",1184,11822,12045,12084,156001276,1001
"Butte County, California",8097,76978,78609,79023,960561629,945
"Calaveras County, California",1409,10306,10421,10409,117205345,869
"Colusa County, California",925,8190,8473,8604,101750467,929
"Contra Costa County, California",35596,360536,365642,365946,7717769978,1631
"Del Norte County, California",761,7979,8011,8041,93146441,894
"El Dorado County, California",5921,55630,56545,56854,835356303,1140
"Fresno County, California",38840,398070,403030,401877,5107901682,980
"Glenn County, California",1181,9331,9519,9648,112688065,913
"Humboldt County, California",5973,48488,49128,49450,583334588,915
"Imperial County, California",7956,66518,66642,65903,765859202,888
"Inyo County, California",750,7134,7267,7231,91538910,977
"Kern County, California",23092,330863,332533,322892,4395078582,1028
"Kings County, California",4485,47757,47677,47340,580209134,938
"Lake County, California",2906,16478,16669,16813,192917607,891
"Lassen County, California",707,8965,8862,8868,114102207,986
"Los Angeles County, California",522975,4386383,4458059,4463263,85498191701,1483
"Madera County, California",4734,53835,54586,52610,645945485,926
"Marin County, California",12541,105760,107357,107861,2474211146,1779
"Mariposa County, California",549,4832,4889,4977,56458624,886
"Mendocino County, California",4077,30955,31325,31638,361443223,888
"Merced County, California",7106,79120,80554,80528,955345906,918
"Modoc County, California",373,2407,2454,2541,26680470,832
"Mono County, California",697,7814,7878,7814,88903050,873
"Monterey County, California",14308,171643,175980,179763,2395466253,1048
"Napa County, California",5939,72437,74647,75654,1207415441,1251
"Nevada County, California",3942,32294,32613,32775,439324175,1038
"Orange County, California",134599,1602858,1616574,1618521,31593992999,1507
"Placer County, California",14481,178251,180664,181004,3052612044,1305
"Plumas County, California",903,5556,5689,5797,71341441,966
"Riverside County, California",72603,793303,807941,809612,10778376945,1032
"Sacramento County, California",64025,681643,690758,693150,12608391726,1409
"San Benito County, California",1673,16525,17045,17501,225494301,1019
"San Bernardino County, California",67036,823915,836760,835169,11366717302,1051
"San Diego County, California",120865,1467981,1488638,1495719,28584644905,1482
"San Francisco County, California",60879,721059,730706,733110,32076314403,3388
"San Joaquin County, California",19517,271371,277200,277664,3700110898,1033
"San Luis Obispo County, California",10848,115627,117714,117998,1615809877,1061
"San Mateo County, California",29194,408612,412701,414840,17745130588,3313
"Santa Barbara County, California",16166,206058,210495,215481,3261746154,1191
"Santa Clara County, California",75943,1087855,1097625,1102488,47493258087,3333
"Santa Cruz County, California",9699,97568,98999,100081,1522357761,1184
"Shasta County, California",7547,67129,66588,67218,859960236,988
"Sierra County, California",135,511,513,527,4744617,706
"Siskiyou County, California",1702,13307,13293,13589,152875376,878
"Solano County, California",12012,135831,137425,138310,2226887438,1249
"Sonoma County, California",20050,200125,203351,205057,3385976712,1284
"Stanislaus County, California",16484,191011,193550,194606,2728524093,1087
"Sutter County, California",3660,30402,31093,31834,384596440,951
"Tehama County, California",1972,19122,19245,19363,243272964,972
"Trinity County, California",433,2591,2602,2665,33285707,978
"Tulare County, California",12366,165880,167308,165927,1941450812,898
"Tuolumne County, California",1661,16560,16672,16776,211509863,976
"Ventura County, California",28577,319442,325853,328645,5435936649,1288
"Yolo County, California",7284,104741,106532,107417,1785192493,1293
"Yuba County, California",1727,19438,19804,19840,288326994,1126
"Unknown Or Undefined, California",60551,481603,496032,502934,15966568078,2489
